crop,weed,insect,straw,bird,herbicide,frog,snake,bat,duck,pesticide
2000,1000,0,0,30,0,0,0,0,0,0
2586.1,1838.9,0,0,28.184,900,0,0,0,0,0
3478.9,2579.4,113.33,0,23.898,405,0,0,0,0,0
6267,3638.5,186.64,0,23.071,182.25,0,0,0,0,0
7847.8,5807.9,244.17,0,26.441,3356.7,0,0,0,0,0
9528.6,6712.5,330.78,0,29.956,1510.5,0,0,0,0,2441.7
11102,8331.3,428.08,0,34.05,679.73,0,0,0,0,1098.8
13043,10015,545.08,0,39.08,305.88,0,0,0,0,494.45
14631,11415,736.67,0,44.229,137.65,0,0,0,0,222.5
15462,12121,921.64,0,49.435,10336,0,0,0,0,7466.9
15696,9496.4,1041.7,0,55.394,4651.1,0,0,0,0,3360.1
15739,9195.9,1201.4,0,62.604,2093,0,0,0,0,1512
15772,9885.8,1413.8,0,70.753,941.85,0,0,0,0,680.42
15348,9846.4,1613.6,0,78.875,423.83,0,0,0,0,14444
14612,9752.4,1427.7,0,88.073,190.72,0,0,0,0,6500
14417,10349,1417.3,0,99.526,85.826,0,0,0,0,2925
14211,10991,1486.8,0,111.18,38.622,0,0,0,0,1316.3
14052,10528,1517.6,0,124.49,17.38,50,0,0,0,592.31
1115.4,10716,1566.2,963.86,139.08,9483.4,108.5,0,0,0,266.54
1133.8,6961.3,1563.5,649.73,152.66,4267.5,170.78,0,0,0,119.94
1741.3,5411.3,1572.9,344.91,168.82,1920.4,233.28,0,0,0,53.975
1894,4977,991.48,26.026,185.21,5734.3,286.42,0,0,0,24.289
2131.5,3202.1,671.17,0,199.65,2580.5,324.31,0,0,0,9925.8
2480.1,2864.1,322.88,0,214.84,1161.2,348.79,0,0,0,4466.6
3017.2,3281.3,265.75,0,229.14,522.54,305.98,0,0,0,2010
3702.1,4110.5,241,0,239.64,235.14,238.21,0,0,0,904.49
4545.3,5067,278.64,0,251.85,3805.2,101.91,0,0,0,2817
5630.7,4968.4,310.77,0,267.59,1712.4,122.47,0,0,0,1267.6
6901.1,5957.5,394.22,0,284.16,770.56,116.81,0,0,0,570.44
8361.7,7616,493.87,0,302.7,346.75,125.19,0,0,0,256.7
9939.1,8869.1,586.65,0,329.02,156.04,134.06,0,0,0,5054.2
11615,10378,599.4,0,356.67,70.217,151.53,0,0,0,2274.4
13208,11995,662.9,0,390.1,31.598,171.02,0,0,0,1023.5
14177,12800,770.34,0,423.95,14.219,191.09,0,0,0,460.57
15620,13580,881.92,0,462.12,6.3986,201.23,0,0,0,207.26
2436.2,13715,976.77,1230.6,504.55,12225,214.24,0,0,0,93.265
2928.5,9039.6,1073.5,1037,547.76,5501.1,230.02,0,0,0,41.969
5054.2,7331.5,1177.6,822.08,598.13,2475.5,247.62,0,0,0,18.886
6202.4,7292.2,1084.3,589.68,631.03,7712.3,269.19,0,0,0,8.4988
